company,size,industry,city,state,contacts,roles,interactions,interactionSubjects,daysSinceLastInteraction,averageOfferValue,offerClosed,offerHitRate,daysSinceLastOfferClosed,customerClassification
"Marquez, Perez and Barrett",Medium,Electric Vehicle (EV) Industry,Port Carrie,California,3,"CFO, Sales Representative, Technical Representative",21,"Product demostration, Follow-up on order, Contract negotiation, Follow-up on proposal, Customer inquiry, Discuss project details, Product feedback",100,9972.54,10,0.5,77,B
"Anderson, Aguilar and Le",Large,Ridesharing & Mobility Services,West Michelletown,Oklahoma,3,"Technical Representative, CFO, Sales Representative",15,"Product feedback, Contract negotiation, Follow-up on proposal, Product demostration, Follow-up on order, Customer inquiry",73,10058.41,12,0.57,108,A
"Orr, Johnson and Phillips",Small,Ridesharing & Mobility Services,Walkermouth,Utah,2,"Technical Representative, Sales Manager",15,"Product feedback, Discuss project details, Customer inquiry, Follow-up on order, Follow-up on proposal, Contract negotiation, Product demostration",105,9981.11,8,0.4,123,B
Mckenzie-Salas,Small,Automotive R&D and Testing Centers,New Marthabury,North Dakota,2,"Sales Manager, CCO",17,"Discuss project details, Product demostration, Follow-up on proposal, Follow-up on order, Product feedback, Customer inquiry, Contract negotiation",140,10009.11,6,0.43,52,C
"Watson, Black and Gonzalez",Medium,Automobile Manufacturers (OEMs),North Sandra,North Carolina,1,CCO,8,"Discuss project details, Follow-up on proposal, Follow-up on order, Product feedback, Customer inquiry",270,10235.78,12,0.43,62,A
Mendoza-Lee,Small,Electric Vehicle (EV) Industry,North Diane,Rhode Island,2,"Sales Representative, CFO",14,"Product feedback, Product demostration, Follow-up on order, Contract negotiation, Discuss project details, Follow-up on proposal",104,9776.34,4,0.24,59,C
Harmon-Burgess,Small,Automobile Manufacturers (OEMs),Manningberg,New Mexico,2,"CEO, Sales Manager",9,"Follow-up on order, Discuss project details, Customer inquiry, Product feedback",48,10082.17,11,0.39,58,A
Lopez-Stewart,Large,Ridesharing & Mobility Services,Richardfort,Washington,1,Technical Manager,12,"Product feedback, Discuss project details, Follow-up on proposal, Follow-up on order, Product demostration, Contract negotiation",152,9979.59,11,0.55,86,A
Munoz-Proctor,Large,Connected Car Solutions Providers,Leeborough,Kentucky,3,"Technical Representative, CCO, Technical Manager",20,"Follow-up on order, Product demostration, Discuss project details, Customer inquiry, Product feedback, Follow-up on proposal, Contract negotiation",39,9642.5,6,0.38,71,C
"Ferrell, Wilson and Barton",Small,Automobile Manufacturers (OEMs),Lake Johnnyfort,Montana,2,"Technical Manager, Sales Manager",18,"Contract negotiation, Follow-up on order, Product demostration, Discuss project details, Product feedback, Follow-up on proposal, Customer inquiry",98,9780.11,14,0.56,56,A
Wilkinson PLC,Small,Electric Vehicle (EV) Industry,Daveton,Vermont,2,"CFO, Technical Representative",17,"Follow-up on order, Follow-up on proposal, Discuss project details, Product demostration, Product feedback, Contract negotiation",106,10295.95,12,0.55,61,A
Wilson-Wood,Small,Automotive R&D and Testing Centers,Mccallborough,Missouri,2,"Sales Representative, CCO",20,"Follow-up on proposal, Contract negotiation, Discuss project details, Customer inquiry, Product feedback, Follow-up on order, Product demostration",44,10058.22,6,0.32,66,C
Martin-Garza,Small,Fleet Management,Wilkersonchester,Oklahoma,1,CEO,14,"Contract negotiation, Product demostration, Follow-up on proposal, Discuss project details, Follow-up on order, Customer inquiry",164,10098.81,12,0.57,72,A
Robertson Group,Small,Connected Car Solutions Providers,West Vincent,Montana,1,Technical Representative,15,"Product demostration, Contract negotiation, Customer inquiry, Product feedback, Discuss project details",193,10082.28,10,0.48,37,B
Roberts-Orr,Medium,Electric Vehicle (EV) Industry,East Davidfurt,Georgia,2,"Technical Manager, CFO",19,"Follow-up on order, Customer inquiry, Product demostration, Product feedback, Contract negotiation, Follow-up on proposal",105,9707.48,7,0.78,102,C
Smith-Castillo,Medium,Electric Vehicle (EV) Industry,Nelsonhaven,Illinois,1,CFO,17,"Discuss project details, Follow-up on order, Contract negotiation, Customer inquiry, Follow-up on proposal, Product demostration, Product feedback",156,10301.61,10,0.37,64,B
"Ross, Swanson and Cruz",Small,Electric Vehicle (EV) Industry,North Laura,Alaska,3,Technical Manager,11,"Discuss project details, Follow-up on order, Contract negotiation, Customer inquiry, Product demostration, Follow-up on proposal",165,10190.17,10,0.43,52,B
"Peters, Dillon and Nelson",Small,Fleet Management,New Joy,New Mexico,1,CFO,22,"Product demostration, Customer inquiry, Follow-up on order, Contract negotiation, Discuss project details, Product feedback, Follow-up on proposal",46,10088.01,9,0.53,47,B
"Morgan, Jones and Reynolds",Small,Automotive R&D and Testing Centers,Seanport,Delaware,2,"CFO, CEO",17,"Customer inquiry, Product demostration, Discuss project details, Contract negotiation, Product feedback, Follow-up on order, Follow-up on proposal",66,10044.01,11,0.48,43,A
"Washington, Scott and Sparks",Medium,Electric Vehicle (EV) Industry,New Michael,Texas,3,"CCO, Sales Representative, CFO",10,"Discuss project details, Contract negotiation, Follow-up on order, Product feedback, Product demostration",40,10207.94,13,0.62,138,A
Swanson LLC,Medium,Connected Car Solutions Providers,North Michaelview,Texas,1,Sales Manager,13,"Product demostration, Customer inquiry, Contract negotiation, Follow-up on proposal, Follow-up on order, Discuss project details",82,10119.13,7,0.47,122,C
Downs-Green,Small,Electric Vehicle (EV) Industry,Charleschester,Georgia,2,"Sales Representative, Technical Representative",7,"Product feedback, Follow-up on order, Discuss project details, Customer inquiry",103,9944.4,6,0.26,77,C
Paul-Merritt,Medium,Electric Vehicle (EV) Industry,Woodstad,Iowa,2,CEO,15,"Contract negotiation, Product demostration, Product feedback, Follow-up on order, Discuss project details, Follow-up on proposal, Customer inquiry",80,10511.36,3,0.27,71,C
Scott LLC,Small,Ridesharing & Mobility Services,Port Meredith,Kentucky,2,"CFO, CEO",17,"Customer inquiry, Product feedback, Discuss project details, Follow-up on order, Follow-up on proposal, Product demostration, Contract negotiation",39,9953.08,6,0.33,91,C
Long-Williams,Medium,Automobile Manufacturers (OEMs),Walkertown,Indiana,3,"Sales Manager, Sales Representative, CEO",12,"Contract negotiation, Product feedback, Follow-up on proposal, Product demostration, Discuss project details",53,10261.49,9,0.53,108,B
Gonzales-Marquez,Small,Automotive R&D and Testing Centers,Michaelside,Washington,2,"Sales Representative, Technical Manager",13,"Discuss project details, Follow-up on proposal, Contract negotiation, Follow-up on order, Customer inquiry, Product feedback",171,9912.68,4,0.22,76,C
Brown-Smith,Small,Ridesharing & Mobility Services,West Charles,New York,3,"CFO, Sales Representative, CEO",17,"Follow-up on order, Follow-up on proposal, Product feedback, Contract negotiation, Product demostration, Discuss project details, Customer inquiry",242,9461.35,5,0.42,43,C
Mcdaniel LLC,Medium,Automobile Manufacturers (OEMs),West Lisabury,Tennessee,3,"CFO, Sales Manager, CCO",21,"Discuss project details, Product demostration, Contract negotiation, Follow-up on order, Customer inquiry, Product feedback",70,9814.35,12,0.55,51,A
"Patton, Downs and Le",Large,Automotive R&D and Testing Centers,Lake Penny,Maryland,3,"Sales Representative, Technical Representative",17,"Contract negotiation, Product feedback, Discuss project details, Follow-up on order, Product demostration, Customer inquiry, Follow-up on proposal",63,10084.45,12,0.55,37,A
"Lara, Vazquez and Brown",Large,Automobile Manufacturers (OEMs),Saundersshire,Kentucky,3,"CFO, Sales Representative, CEO",21,"Follow-up on order, Customer inquiry, Product demostration, Product feedback, Discuss project details, Follow-up on proposal, Contract negotiation",62,10178.36,6,0.29,288,C
"Foster, Craig and Taylor",Small,Electric Vehicle (EV) Industry,Hornhaven,New York,3,"Sales Representative, Technical Representative, CCO",15,"Discuss project details, Product feedback, Product demostration, Follow-up on order, Contract negotiation, Follow-up on proposal",158,9902.58,11,0.46,37,A
"Wilson, Barry and Mitchell",Medium,Automobile Manufacturers (OEMs),Weissport,Oklahoma,4,"Sales Representative, CFO",15,"Product demostration, Contract negotiation, Follow-up on proposal, Product feedback, Follow-up on order, Customer inquiry, Discuss project details",85,9925.5,9,0.39,121,B
Olson-Walton,Small,Fleet Management,North Justinland,Maryland,2,"Technical Manager, Sales Representative",16,"Follow-up on proposal, Contract negotiation, Discuss project details, Customer inquiry, Product demostration, Follow-up on order, Product feedback",95,9825.74,8,0.5,173,B
"Miller, Chen and Cameron",Medium,Connected Car Solutions Providers,Langland,Utah,2,"Technical Representative, CCO",17,"Discuss project details, Follow-up on proposal, Product demostration, Contract negotiation, Customer inquiry, Follow-up on order, Product feedback",104,9867.13,11,0.46,43,A
Mcclain-Allen,Large,Automotive R&D and Testing Centers,Sextonville,West Virginia,4,"Technical Representative, CFO, Sales Representative, CCO",20,"Contract negotiation, Product demostration, Discuss project details, Follow-up on order, Customer inquiry, Product feedback, Follow-up on proposal",123,9627.21,13,0.59,168,A
Clay Inc,Large,Electric Vehicle (EV) Industry,South John,Colorado,1,Sales Manager,17,"Discuss project details, Follow-up on order, Customer inquiry, Contract negotiation, Product demostration",68,9960.04,6,0.38,57,C
"Morris, Ortiz and Maldonado",Small,Fleet Management,New Angelafurt,Idaho,2,"CEO, Sales Representative",18,"Customer inquiry, Discuss project details, Contract negotiation, Follow-up on order, Product demostration, Follow-up on proposal, Product feedback",56,9964.03,13,0.36,34,A
"Kemp, Johnson and Bradshaw",Small,Automotive R&D and Testing Centers,Nguyenland,Utah,1,CEO,23,"Product feedback, Discuss project details, Product demostration, Contract negotiation, Follow-up on proposal, Customer inquiry, Follow-up on order",49,10012.42,11,0.55,169,A
Cherry-Jackson,Large,Ridesharing & Mobility Services,East Allison,Illinois,1,Technical Manager,18,"Product feedback, Customer inquiry, Contract negotiation, Product demostration, Follow-up on proposal, Discuss project details, Follow-up on order",64,9964.14,9,0.39,204,B
Peterson-Flores,Small,Ridesharing & Mobility Services,Guzmanshire,Connecticut,2,Sales Manager,12,"Product demostration, Product feedback, Discuss project details, Follow-up on order, Customer inquiry, Contract negotiation",147,9762.21,4,0.21,47,C
Estes-Johnson,Large,Automotive R&D and Testing Centers,Rodriguezfort,New Mexico,2,"Sales Manager, Technical Representative",14,"Follow-up on proposal, Follow-up on order, Contract negotiation, Product feedback, Product demostration, Customer inquiry, Discuss project details",135,9933.8,9,0.45,102,B
Brown PLC,Small,Automotive R&D and Testing Centers,West Sarah,Texas,1,CFO,16,"Follow-up on proposal, Contract negotiation, Product feedback, Product demostration, Discuss project details, Follow-up on order, Customer inquiry",133,9978.17,9,0.33,35,B
Johnson-Bush,Medium,Automobile Manufacturers (OEMs),New Juanburgh,Mississippi,3,"Sales Representative, Technical Manager, Technical Representative",16,"Follow-up on proposal, Contract negotiation, Customer inquiry, Product feedback, Follow-up on order, Product demostration",44,9780.91,13,0.5,63,A
"Olson, Williams and Thompson",Large,Electric Vehicle (EV) Industry,East Jasmine,Oregon,2,CEO,21,"Contract negotiation, Product demostration, Follow-up on order, Follow-up on proposal, Discuss project details, Customer inquiry",111,9972.62,11,0.48,73,A
"Sanchez, Kelley and Peterson",Medium,Automotive R&D and Testing Centers,Port Laurenchester,Pennsylvania,1,Technical Manager,18,"Product demostration, Follow-up on order, Customer inquiry, Contract negotiation, Product feedback, Discuss project details, Follow-up on proposal",108,10081.21,5,0.33,103,C
Mullins-Tran,Medium,Automotive R&D and Testing Centers,East Anthonyview,Virginia,1,CFO,11,"Product demostration, Follow-up on order, Discuss project details, Follow-up on proposal, Customer inquiry",151,9957.39,9,0.47,259,B
Morgan-Moore,Small,Automotive R&D and Testing Centers,Lake Kennethfort,Michigan,3,"CEO, CCO, Technical Manager",16,"Customer inquiry, Product demostration, Product feedback, Discuss project details, Follow-up on proposal, Contract negotiation, Follow-up on order",149,10147.67,19,0.66,40,A
Doyle and Sons,Medium,Ridesharing & Mobility Services,East Kristine,New Hampshire,2,"Sales Manager, CEO",21,"Discuss project details, Follow-up on proposal, Customer inquiry, Contract negotiation, Follow-up on order, Product demostration",66,9876.1,7,0.54,177,C
Garcia-Mcguire,Large,Connected Car Solutions Providers,Valentineport,Kansas,2,"Technical Representative, CEO",18,"Customer inquiry, Product demostration, Discuss project details, Follow-up on proposal, Follow-up on order, Contract negotiation",37,10200.83,15,0.79,178,A
Martinez LLC,Large,Fleet Management,South Christinemouth,Colorado,2,"CCO, CEO",17,"Discuss project details, Product feedback, Follow-up on order, Customer inquiry, Follow-up on proposal, Product demostration, Contract negotiation",70,9919.9,15,0.54,115,A
"Williams, Barron and Edwards",Medium,Electric Vehicle (EV) Industry,Sarahborough,Oklahoma,2,"CFO, CEO",13,"Product demostration, Product feedback, Discuss project details, Customer inquiry, Follow-up on proposal, Follow-up on order",141,10159.6,9,0.56,36,B
Brown Group,Small,Automotive R&D and Testing Centers,Port Jason,Massachusetts,3,"Technical Representative, CFO",10,"Follow-up on order, Customer inquiry, Product demostration, Product feedback, Follow-up on proposal, Contract negotiation",103,10107.01,15,0.65,36,A
"Davis, Banks and Mooney",Medium,Fleet Management,South Melissamouth,Nebraska,1,CEO,22,"Follow-up on order, Customer inquiry, Follow-up on proposal, Product feedback, Contract negotiation, Product demostration, Discuss project details",77,9704.81,7,0.32,264,C
Hughes-Hansen,Large,Automotive R&D and Testing Centers,Jonathanfurt,Montana,4,"CEO, CFO, CCO, Sales Manager",10,"Customer inquiry, Follow-up on order, Discuss project details, Contract negotiation, Product demostration, Product feedback",151,10045.06,12,0.57,47,A
Gibson and Sons,Large,Automotive R&D and Testing Centers,Thomaston,North Carolina,2,"CCO, CEO",22,"Follow-up on proposal, Customer inquiry, Discuss project details, Product demostration, Product feedback, Contract negotiation",110,9918.35,16,0.52,47,A
